league,area,retrieved_from_url,start_time,end_time,team1,team2,outcome,team1_odds,team2_odds,draw_odds
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1526212800,1526218200,Burnley,Bournemouth,TEAM2,2.35,3.06,3.45
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1526212800,1526218200,"Crystal Palace","West Brom",TEAM1,1.76,4.69,3.81
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1526212800,1526218200,Huddersfield,Arsenal,TEAM2,5.59,1.54,4.7
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1526212800,1526218200,Liverpool,Brighton,TEAM1,1.21,13.13,7.15
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1526212800,1526218200,"Manchester United",Watford,TEAM1,1.52,6.56,4.34
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1526212800,1526218200,Newcastle,Chelsea,TEAM1,4.78,1.76,3.79
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1526212800,1526218200,Southampton,"Manchester City",TEAM2,6.25,1.52,4.49
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1526212800,1526218200,Swansea,Stoke,TEAM2,2.04,3.77,3.51
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1526212800,1526218200,Tottenham,"Leicester ",TEAM1,1.36,8.14,5.39
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1526212800,1526218200,"West Ham",Everton,TEAM1,2.3,3.22,3.38
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525970700,1525976100,"West Ham","Manchester United",DRAW,4.51,1.81,3.85
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525885200,1525890600,"Manchester City",Brighton,TEAM1,1.18,17.0,7.38
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525885200,1525890600,Tottenham,"Newcastle ",TEAM1,1.2,14.5,7.35
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525884300,1525889700,Chelsea,Huddersfield,DRAW,1.25,15.5,5.83
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525884300,1525889700,Leicester,Arsenal,TEAM1,3.86,1.95,3.85
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525797900,1525803300,Swansea,Southampton,TEAM2,3.33,2.39,3.2
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525613400,1525618800,Arsenal,Burnley,TEAM1,1.42,7.49,4.85
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525613400,1525618800,Chelsea,Liverpool,TEAM1,2.17,3.27,3.66
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525602600,1525608000,"Manchester City",Huddersfield,DRAW,1.09,27.75,11.75
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525530600,1525536000,Everton,Southampton,DRAW,2.81,2.65,3.25
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525521600,1525527000,Bournemouth,Swansea,TEAM1,2.0,3.91,3.53
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525521600,1525527000,Leicester,"West Ham",TEAM2,2.28,3.22,3.45
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525521600,1525527000,Watford,Newcastle,TEAM1,2.19,3.59,3.29
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525521600,1525527000,"West Brom",Tottenham,TEAM1,7.63,1.46,4.49
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525512600,1525518000,Stoke,"Crystal Palace",TEAM2,2.52,2.85,3.41
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525453200,1525458600,Brighton,"Manchester United",TEAM1,4.9,1.83,3.48
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525107600,1525113000,Tottenham,"Watford ",TEAM1,1.16,16.56,8.38
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525008600,1525014000,"Manchester United",Arsenal,TEAM1,1.37,8.28,5.35
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1525000500,1525005900,"West Ham","Manchester City",TEAM2,9.45,1.33,5.65
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524925800,1524931200,Swansea,Chelsea,TEAM2,7.71,1.44,4.6
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524916800,1524922200,Burnley,Brighton,DRAW,2.39,3.38,3.08
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524916800,1524922200,"Crystal Palace",Leicester,TEAM1,2.08,3.67,3.5
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524916800,1524922200,Huddersfield,Everton,TEAM2,2.6,3.04,3.06
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524916800,1524922200,Newcastle,"West Brom",TEAM2,1.95,4.4,3.34
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524916800,1524922200,Southampton,Bournemouth,TEAM1,1.69,4.95,4.05
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524907800,1524913200,Liverpool,Stoke,DRAW,1.28,11.63,5.73
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524502800,1524508200,Everton,Newcastle,TEAM1,2.17,3.65,3.26
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524403800,1524409200,"Manchester City",Swansea,TEAM1,1.13,20.63,9.2
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524393000,1524398400,Arsenal,"West Ham",TEAM1,1.48,6.76,4.68
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524393000,1524398400,Stoke,Burnley,DRAW,2.25,3.44,3.3
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524312000,1524317400,Watford,"Crystal Palace",DRAW,3.03,2.46,3.27
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524303000,1524308400,"West Brom",Liverpool,DRAW,6.49,1.58,4.0
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524156300,1524161700,Burnley,Chelsea,TEAM2,4.47,1.89,3.55
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524156300,1524161700,Leicester,Southampton,DRAW,2.4,3.08,3.45
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1524069900,1524075300,Bournemouth,"Manchester United",TEAM2,4.53,1.81,3.85
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1523983500,1523988900,Brighton,Tottenham,DRAW,6.67,1.54,4.27
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1523898000,1523903400,"West Ham",Stoke,DRAW,1.98,4.07,3.45
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1523797200,1523802600,"Manchester United","West Brom",TEAM2,1.19,17.38,7.04
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1523788200,1523793600,Newcastle,Arsenal,TEAM1,2.89,2.49,3.43
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league/results/,1523724300,1523729700,Tottenham,"Manchester City ",TEAM2,2.8,2.53,3.57
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1463504400,1463509800,"Manchester United",Bournemouth,TEAM1,1.5,6.64,4.59
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1463313600,1463319000,Arsenal,"Aston Villa",TEAM1,1.11,22.5,10.88
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1463313600,1463319000,Chelsea,Leicester,DRAW,2.0,3.63,3.73
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1463313600,1463319000,Everton,Norwich,TEAM1,1.72,4.61,4.08
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1463313600,1463319000,Newcastle,Tottenham,TEAM1,5.1,1.7,3.89
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1463313600,1463319000,Southampton,"Crystal Palace",TEAM1,1.28,10.75,6.09
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1463313600,1463319000,Stoke,"West Ham",TEAM1,3.03,2.26,3.73
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1463313600,1463319000,Swansea,"Manchester City",DRAW,6.63,1.46,4.9
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1463313600,1463319000,Watford,Sunderland,DRAW,1.65,5.15,4.2
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1463313600,1463319000,"West Brom",Liverpool,DRAW,2.6,2.7,3.49
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1462986000,1462991400,Liverpool,Chelsea,DRAW,1.7,4.68,4.19
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1462985100,1462990500,Norwich,Watford,TEAM1,1.85,4.29,3.8
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1462985100,1462990500,Sunderland,Everton,TEAM1,1.85,4.34,3.8
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1462898700,1462904100,"West Ham","Manchester United",TEAM1,3.05,2.31,3.54
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1462712400,1462717800,Liverpool,Watford,TEAM1,1.56,6.13,4.25
"Premier League",England,http://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,1462712400,1462717800,"Manchester City",Arsenal,DRAW,2.22,3.23,3.56
