"league","area","retrieved_from_url","start_time","end_time","team1","team2","outcome","team1_odds","team2_odds","draw_odds"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league/results/","1530204300","1530209700","Tre Fiori (San) ","Bala (Wal)  ","TEAM1","7.5","1.33","4.78"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league/results/","1530201600","1530207000","B36 Torshavn (Fai) ","St Josephs (Gib)  ","DRAW","1.34","6.8","4.9"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league/results/","1530201600","1530207000","Druids (Wal) ","Trakai (Ltu)  ","DRAW","5.5","1.54","3.83"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league/results/","1530201600","1530207000","UE Engordany (And) ","Folgore (San)  ","TEAM1","1.44","7.27","3.75"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league/results/","1530198000","1530203400","Birkirkara (Mlt) ","Klaksvik (Fai)  ","DRAW","1.59","5.32","3.48"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league/results/","1530194400","1530199800","Europa FC (Gib) ","Prishtina (Kos)  ","DRAW","2.83","2.43","2.97"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league/results/","1530028800","1530034200","Sant Julia (And) ","Gzira (Mlt)  ","TEAM2","3.75","1.9","3.3"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league-2015-2016/results/","1463589900","1463595300","Liverpool","Sevilla ","TEAM2","2.26","3.4","3.3"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league-2015-2016/results/","1462467900","1462473300","Liverpool","Villarreal ","TEAM1","1.63","5.45","3.94"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league-2015-2016/results/","1462467900","1462473300","Sevilla","Shakhtar Donetsk ","TEAM1","1.61","5.36","4.13"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league-2015-2016/results/","1461863100","1461868500","Shakhtar Donetsk","Sevilla ","DRAW","2.72","2.71","3.22"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league-2015-2016/results/","1461863100","1461868500","Villarreal","Liverpool ","TEAM1","2.58","2.97","3.14"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league-2015-2016/results/","1460653500","1460658900","Liverpool","Dortmund ","TEAM1","2.98","2.35","3.5"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league-2015-2016/results/","1460653500","1460658900","Sevilla","Ath Bilbao ","DRAW","2.11","3.45","3.55"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league-2015-2016/results/","1460653500","1460658900","Shakhtar Donetsk","Braga ","TEAM1","1.8","4.29","3.88"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/europa-league-2015-2016/results/","1460653500","1460658900","Sparta Prague","Villarreal ","TEAM2","3.62","2.07","3.46"
