Tre Fiori (San) ;Bala (Wal)  
B36 Torshavn (Fai) ;St Josephs (Gib)  
Druids (Wal) ;Trakai (Ltu)  
UE Engordany (And) ;Folgore (San)  
Birkirkara (Mlt) ;Klaksvik (Fai)  
Europa FC (Gib) ;Prishtina (Kos)  
Sant Julia (And) ;Gzira (Mlt)  
Liverpool;Sevilla 
Liverpool;Villarreal 
Sevilla;Shakhtar Donetsk 
Shakhtar Donetsk;Sevilla 
Villarreal;Liverpool 
Liverpool;Dortmund 
Sevilla;Ath Bilbao 
Shakhtar Donetsk;Braga 
Sparta Prague;Villarreal 
Ath Bilbao;Sevilla 
Braga;Shakhtar Donetsk 
Dortmund;Liverpool 
Villarreal;Sparta Prague 
Anderlecht;Shakhtar Donetsk 
Braga;Fenerbahce 
Manchester United;Liverpool 
Sevilla;Basel 
Tottenham;Dortmund 
Bayer Leverkusen;Villarreal 
Lazio;Sparta Prague 
Valencia;Ath Bilbao 
Ath Bilbao;Valencia 
Liverpool;Manchester United 
Sparta Prague;Lazio 
Villarreal;Bayer Leverkusen 
Basel;Sevilla 
Dortmund;Tottenham 
Fenerbahce;Braga 
Shakhtar Donetsk;Anderlecht 
Basel;St Etienne 
FC Porto;Dortmund 
Manchester United;Midtjylland 
Molde;Sevilla 
Napoli;Villarreal 
Olympiakos Piraeus;Anderlecht 
Tottenham;Fiorentina 
Ath Bilbao;Marseille 
Bayer Leverkusen;Sporting 
Krasnodar;Sparta Prague 
Lazio;Galatasaray 
Liverpool;Augsburg 
Rapid Vienna;Valencia 
Schalke;Shakhtar Donetsk 
Lokomotiv Moscow;Fenerbahce 
Braga;Sion 
Augsburg;Liverpool 
Galatasaray;Lazio 
Shakhtar Donetsk;Schalke 
Sion;Braga 
Sparta Prague;Krasnodar 
Dnipro;Sevilla 
Dnipro;Napoli 
Fiorentina;Sevilla 
Napoli;Dnipro 
Sevilla;Fiorentina 
Dnipro;Club Brugge KV 
Fiorentina;Dyn. Kyiv 
Napoli;Wolfsburg 
Zenit Petersburg;Sevilla 
Club Brugge KV;Dnipro 
Dyn. Kyiv;Fiorentina 
Sevilla;Zenit Petersburg 
